Date,Close,High,Low,Open,Volume
2022-01-03,451.8751220703125,452.00756463480985,448.2238872560393,450.5413723302358,72668200
2022-01-04,451.7237854003906,454.02239141771696,449.86032307936296,453.3034834561525,71178700
2022-01-05,443.04974365234375,452.13057588020047,442.9551459366762,451.35491502576446,104538900
2022-01-06,442.6335144042969,445.35776682155085,440.25924753685416,442.58622998244016,86858900
2022-01-07,440.8836364746094,443.82546126521584,439.5215100228774,442.6430618360855,85111600
2022-01-10,440.3349609375,440.55250393034436,431.9068153934691,437.6769296616079,119362000
2022-01-11,444.34564208984375,444.44023980411635,437.0620510983953,440.07009675611505,74303100
2022-01-12,445.5469665527344,447.6090928817036,443.5794668088616,446.08614756445814,67605400
2022-01-13,439.40789794921875,447.3063299976346,438.37684936061635,446.6536433613465,91173100
2022-01-14,439.587646484375,439.9376320291072,435.0283082374195,436.24855229559944,95890900
2022-01-18,431.802734375,435.0850758226512,430.68655641963403,434.8769724015517,109709100
2022-01-19,427.3190612792969,434.7539734256139,427.04473658825316,433.3540312792543,109357600
2022-01-20,422.5894775390625,433.93104152080394,420.4611589616414,429.2109131132616,122379700
2022-01-21,414.2938537597656,423.8287100959398,414.2654773280308,421.463911227455,202271200
2022-01-24,416.0531311035156,416.5639355956219,398.0050040098035,408.6655038635692,251783900
2022-01-25,410.9736633300781,415.93974091062637,404.0495253753635,409.6399133158129,167997300
2022-01-26,409.9425354003906,420.0260392062578,405.66696143338,416.885580014085,186391100
2022-01-27,407.91827392578125,417.7085455157903,406.225098979547,414.5586466067945,149878300
2022-01-28,418.04913330078125,418.0964177287686,404.6832861876728,409.2804410874524,164457400
2022-01-31,425.5786437988281,425.92862939350965,416.0248511182764,417.37750906908354,152251400
2022-02-01,428.45416259765625,429.0973807997152,422.76917831255236,426.3069072910431,123155400
2022-02-02,432.6162109375,433.3445584287272,428.5487405020681,430.8662544052309,117361000
2022-02-03,422.4476013183594,428.47310315644444,421.60571921304773,426.5623563990489,118024400
2022-02-04,424.4341125488281,428.29345160142367,419.8274601036571,422.21119583856563,118454400
2022-02-07,423.0718994140625,426.60016012871563,421.738149661157,425.2002179600923,84472900
2022-02-08,426.5528869628906,427.4798983462463,421.142226961754,422.5705744611604,81012000
2022-02-09,432.7959899902344,433.1175991367621,430.40281495436784,430.60144995457046,92589900
2022-02-10,425.0205383300781,432.95678758172915,423.0151936953488,426.93128524545455,140103700
2022-02-11,416.6396484375,427.18664391321806,415.20186134997584,425.1056385655254,153214600
2022-02-14,415.2775573730469,417.7180457832857,411.79658063441923,416.12890799397803,123006300
2022-02-15,421.97467041015625,422.144928982225,419.21257292774663,419.73284594307296,88482700
2022-02-16,422.4476013183594,423.82863553178055,418.0396135389401,419.921983869593,84863600
2022-02-17,413.423583984375,422.41928787627376,412.8182105012126,419.2504517040746,102259100
2022-02-18,410.74652099609375,414.9369362911633,408.46685216908025,413.67884753935687,132642900
2022-02-22,406.3386535644531,411.9479493682577,402.82927137444875,408.5331937704951,124391800
2022-02-23,399.13067626953125,409.8290216743736,398.5631188932216,409.26146429806397,132578000
2022-02-24,405.1372375488281,405.5723812250493,388.43232758179744,388.79175267882744,213942900
2022-02-25,414.07623291015625,414.16136219529494,404.72107583636694,406.376434848572,121804500
2022-02-28,413.016845703125,414.50194628148233,407.4075498631583,408.66561012645167,145615000
2022-03-01,406.7264709472656,413.52763436039083,404.0116577742562,411.51282123663765,137785900
2022-03-02,414.2086486816406,415.9396684351106,408.2304313077541,408.9871552603508,117726500
2022-03-03,412.1465148925781,417.2544736461627,410.3398054569245,416.6491002687027,105501700
2022-03-04,408.7979431152344,409.93302891754075,404.73994136911347,408.40064432076974,113978200
2022-03-07,396.74700927734375,408.9209886334295,396.68078798416894,408.2115490078565,137896600
2022-03-08,393.7388916015625,404.1061585985236,392.6699982200299,396.92663488599277,164772700
2022-03-09,404.29547119140625,406.28190798476885,399.9537039976244,402.14824424299974,116990800
